stationid,city,temp,rain,wind,direction,date
8,Bucuresti,18,0.51,16,NV,2023-03-27
6,Iasi,7,0.52,133,NE,2023-03-24
3,Suceava,8,0.55,57,SE,2023-03-02
7,Brasov,-12,0.71,108,NV,2023-03-16
2,Cluj-Napoca,24,0.07,129,NV,2023-03-17
7,Iasi,13,0.63,134,SV,2023-03-02
4,Cluj-Napoca,40,0.24,58,NV,2023-03-17
1,Cluj-Napoca,36,0.78,48,SE,2023-03-08
5,Brasov,-9,0.4,98,E,2023-03-11
9,Iasi,-3,0.94,125,E,2023-03-08
8,Iasi,33,0.65,99,V,2023-03-03
1,Suceava,8,0.17,81,N,2023-03-04
4,Iasi,23,0.93,1,SV,2023-03-08
3,Iasi,-18,0.37,44,NV,2023-03-29
3,Iasi,6,0.87,32,S,2023-03-10
6,Suceava,22,0.44,76,SE,2023-03-24
2,Constanta,-7,0.96,135,NV,2023-03-08
9,Constanta,39,0.9,121,NE,2023-03-16
2,Braila,-15,0.42,81,E,2023-03-01
7,Iasi,-5,0.82,47,NE,2023-03-28
1,Suceava,-20,0.12,134,N,2023-03-17
3,Bucuresti,-2,0.91,137,NV,2023-03-12
2,Iasi,21,0.16,97,SE,2023-03-10
9,Constanta,26,0.82,69,S,2023-03-02
2,Bucuresti,30,0.42,81,SV,2023-03-23
10,Bucuresti,-10,0.63,69,NE,2023-03-29
1,Iasi,-4,0.38,19,NV,2023-03-17
5,Braila,39,0.51,79,NV,2023-03-25
2,Iasi,-14,0.85,82,SE,2023-03-08
1,Bucuresti,13,0.25,79,NV,2023-03-15
2,Suceava,38,0.99,108,E,2023-03-29
1,Suceava,12,0.69,5,V,2023-03-20
9,Cluj-Napoca,2,0.28,115,V,2023-03-29
2,Suceava,3,0.0,93,N,2023-03-27
5,Braila,27,0.67,7,NE,2023-03-07
5,Constanta,29,0.71,50,SE,2023-03-12
9,Iasi,16,0.26,35,NV,2023-03-13
2,Bucuresti,8,0.51,129,V,2023-03-27
6,Suceava,39,0.58,130,N,2023-03-09
2,Galati,11,0.84,42,E,2023-03-20
4,Braila,36,0.08,134,E,2023-03-24
1,Suceava,1,0.06,17,NV,2023-03-04
9,Iasi,20,0.84,68,SV,2023-03-02
4,Cluj-Napoca,-2,0.7,101,SV,2023-03-29
6,Constanta,-11,0.94,40,SE,2023-03-10
3,Brasov,11,0.97,68,S,2023-03-17
6,Braila,-8,0.31,113,SV,2023-03-28
7,Braila,27,0.8,98,NV,2023-03-07
7,Bucuresti,-19,0.16,106,NE,2023-03-05
2,Cluj-Napoca,26,0.73,136,S,2023-03-22
10,Cluj-Napoca,13,0.25,118,E,2023-03-28
10,Cluj-Napoca,21,0.5,18,N,2023-03-12
5,Bucuresti,38,0.73,67,NE,2023-03-09
2,Cluj-Napoca,-13,0.33,131,NE,2023-03-06
10,Iasi,-12,0.67,121,NE,2023-03-11
3,Brasov,-15,0.74,113,SE,2023-03-11
5,Braila,12,0.29,5,V,2023-03-19
4,Braila,2,0.9,130,E,2023-03-03
3,Constanta,-11,0.56,67,N,2023-03-08
5,Bucuresti,10,0.01,35,N,2023-03-13
9,Brasov,15,0.94,6,V,2023-03-10
4,Iasi,-15,0.25,94,SV,2023-03-14
5,Braila,17,0.12,13,SE,2023-03-21
1,Galati,24,0.18,18,NV,2023-03-27
9,Galati,34,0.45,76,NV,2023-03-28
8,Constanta,-12,0.77,120,SV,2023-03-30
10,Brasov,32,0.68,102,SV,2023-03-21
7,Galati,35,0.51,17,S,2023-03-06
7,Braila,-11,0.96,34,E,2023-03-21
9,Cluj-Napoca,25,0.83,82,NV,2023-03-01
2,Brasov,28,0.39,118,NE,2023-03-26
2,Braila,13,0.81,12,NV,2023-03-25
4,Galati,6,0.55,61,V,2023-03-28
4,Cluj-Napoca,-8,0.19,68,E,2023-03-28
1,Bucuresti,7,0.5,127,N,2023-03-12
9,Cluj-Napoca,34,0.97,16,SV,2023-03-12
8,Cluj-Napoca,36,0.97,118,N,2023-03-12
7,Braila,1,0.12,130,NE,2023-03-01
5,Bucuresti,-12,0.36,24,E,2023-03-12
8,Iasi,-7,0.04,26,N,2023-03-03
1,Constanta,23,0.52,133,N,2023-03-30
7,Constanta,38,0.5,128,NE,2023-03-27
3,Constanta,7,0.52,14,N,2023-03-18
6,Galati,34,0.85,134,SE,2023-03-07
7,Cluj-Napoca,19,0.74,1,S,2023-03-01
6,Bucuresti,-7,0.62,82,SE,2023-03-05
10,Iasi,19,0.76,113,N,2023-03-28
8,Constanta,11,0.46,50,S,2023-03-21
5,Suceava,11,0.78,110,V,2023-03-14
8,Galati,12,0.19,95,N,2023-03-27
9,Constanta,-14,0.09,135,NE,2023-03-21
2,Iasi,-17,0.24,61,V,2023-03-08
4,Galati,27,0.75,100,SE,2023-03-20
3,Iasi,-5,0.67,134,SE,2023-03-11
4,Galati,22,0.63,19,E,2023-03-29
9,Constanta,-13,0.3,119,S,2023-03-05
8,Constanta,14,0.58,46,SV,2023-03-11
10,Braila,27,0.34,14,V,2023-03-05
9,Braila,8,0.96,11,S,2023-03-05
1,Galati,-16,0.41,71,NV,2023-03-26
2,Brasov,40,0.64,2,S,2023-03-26
6,Iasi,36,0.25,131,E,2023-03-26
3,Suceava,-16,0.33,58,SE,2023-03-19
9,Bucuresti,-11,0.87,114,SE,2023-03-01
5,Galati,24,0.72,95,SE,2023-03-25
9,Constanta,-11,0.11,102,E,2023-03-02
1,Iasi,39,0.89,25,E,2023-03-28
7,Suceava,16,0.87,75,SV,2023-03-25
5,Braila,21,0.21,34,SV,2023-03-05
7,Iasi,-7,0.46,124,SE,2023-03-29
1,Suceava,-9,0.15,96,S,2023-03-03
9,Bucuresti,-12,0.07,134,SV,2023-03-20
3,Brasov,-13,0.28,59,SV,2023-03-03
10,Iasi,29,0.79,16,NE,2023-03-27
3,Iasi,37,0.56,69,S,2023-03-20
3,Galati,5,0.76,19,NE,2023-03-10
5,Braila,-7,0.21,101,E,2023-03-21
3,Constanta,-8,0.79,30,E,2023-03-03
9,Suceava,35,0.45,1,N,2023-03-06
8,Braila,-16,0.46,79,SV,2023-03-05
4,Iasi,40,0.47,121,NE,2023-03-16
6,Suceava,-12,0.34,129,S,2023-03-26
1,Brasov,5,0.34,94,N,2023-03-28
4,Constanta,35,0.6,11,SV,2023-03-09
3,Iasi,40,0.34,16,SE,2023-03-20
4,Constanta,26,1.0,116,SE,2023-03-08
7,Bucuresti,-4,0.47,11,N,2023-03-30
8,Bucuresti,36,0.04,87,SE,2023-03-22
5,Constanta,38,0.21,117,NE,2023-03-14
4,Braila,21,0.98,119,E,2023-03-13
5,Bucuresti,28,0.51,123,NV,2023-03-07
1,Brasov,16,0.72,109,NV,2023-03-07
2,Iasi,4,0.56,116,SV,2023-03-27
6,Brasov,29,0.26,98,NE,2023-03-15
5,Brasov,-6,0.29,27,V,2023-03-05
10,Brasov,4,0.43,57,N,2023-03-29
4,Suceava,30,0.35,47,SV,2023-03-08
8,Bucuresti,3,0.08,57,S,2023-03-12
1,Constanta,27,0.12,17,SE,2023-03-30
2,Bucuresti,15,0.24,37,SV,2023-03-17
2,Iasi,33,0.27,114,SE,2023-03-04
4,Brasov,35,0.97,23,SV,2023-03-02
9,Suceava,25,0.31,11,V,2023-03-30
10,Constanta,-13,0.28,19,SV,2023-03-10
7,Suceava,-13,0.76,50,S,2023-03-07
1,Bucuresti,3,0.59,7,NV,2023-03-18
3,Suceava,-8,0.43,38,SV,2023-03-06
3,Constanta,0,0.68,28,N,2023-03-26
6,Cluj-Napoca,26,0.84,52,SV,2023-03-10
8,Brasov,17,0.64,82,N,2023-03-15
8,Braila,32,0.98,69,N,2023-03-05
4,Braila,21,0.28,58,V,2023-03-03
4,Constanta,-18,0.12,49,N,2023-03-26
6,Galati,37,0.01,80,V,2023-03-06
5,Braila,8,0.07,4,SV,2023-03-03
5,Braila,15,0.27,68,NE,2023-03-07
2,Constanta,-9,0.74,28,N,2023-03-07
8,Iasi,35,0.95,98,E,2023-03-02
4,Galati,5,0.56,139,SE,2023-03-07
4,Cluj-Napoca,39,0.09,72,NE,2023-03-21
3,Iasi,5,0.27,48,E,2023-03-08
8,Iasi,37,0.8,43,V,2023-03-25
9,Cluj-Napoca,26,0.9,52,S,2023-03-14
8,Brasov,11,0.42,108,SE,2023-03-14
5,Cluj-Napoca,-3,0.59,120,SV,2023-03-16
7,Bucuresti,10,0.65,137,N,2023-03-16
9,Galati,4,0.1,15,N,2023-03-10
7,Iasi,6,0.16,46,S,2023-03-20
1,Braila,27,0.12,23,SV,2023-03-28
2,Brasov,-6,0.09,29,S,2023-03-02
5,Cluj-Napoca,-1,0.16,46,E,2023-03-20
10,Iasi,39,0.46,130,SV,2023-03-12
3,Braila,3,0.83,9,SE,2023-03-01
1,Galati,20,0.77,134,V,2023-03-26
5,Cluj-Napoca,32,0.47,49,SE,2023-03-10
4,Iasi,2,0.08,113,NE,2023-03-05
10,Cluj-Napoca,37,0.12,61,E,2023-03-06
10,Iasi,13,0.14,33,E,2023-03-10
7,Suceava,24,0.46,137,E,2023-03-22
8,Braila,20,0.19,50,SV,2023-03-05
2,Constanta,2,0.02,14,V,2023-03-25
7,Braila,5,0.28,52,NV,2023-03-24
4,Constanta,24,0.39,60,SV,2023-03-01
4,Braila,17,0.17,134,NE,2023-03-06
5,Galati,5,0.62,48,N,2023-03-26
1,Galati,-18,0.42,134,NV,2023-03-06
2,Constanta,20,0.13,92,S,2023-03-16
5,Suceava,34,0.19,99,NE,2023-03-26
7,Suceava,16,0.88,136,N,2023-03-14
10,Braila,-17,0.85,140,N,2023-03-22
3,Braila,23,0.6,45,N,2023-03-07
9,Brasov,31,0.24,75,V,2023-03-16
8,Suceava,27,0.43,13,E,2023-03-13
10,Brasov,-2,0.53,114,NE,2023-03-29
8,Bucuresti,-6,0.09,68,E,2023-03-27
5,Bucuresti,18,0.04,58,NE,2023-03-20
10,Constanta,23,0.95,75,NV,2023-03-13
10,Constanta,-4,0.56,106,V,2023-03-09
7,Cluj-Napoca,-1,0.03,110,NE,2023-03-01
4,Constanta,-10,0.2,89,S,2023-03-07
10,Cluj-Napoca,1,0.01,31,NE,2023-03-28
8,Galati,18,0.34,39,NV,2023-03-27
3,Suceava,39,0.22,83,NE,2023-03-26
6,Galati,18,0.78,102,S,2023-03-11
9,Constanta,24,0.57,69,E,2023-03-15
5,Iasi,-7,0.25,123,V,2023-03-29
10,Cluj-Napoca,0,0.13,15,NE,2023-03-03
9,Cluj-Napoca,-1,0.56,49,SV,2023-03-12
2,Suceava,-19,0.66,53,N,2023-03-22
3,Iasi,1,0.23,34,S,2023-03-18
4,Iasi,-6,0.17,65,N,2023-03-29
1,Bucuresti,-11,0.09,138,E,2023-03-10
5,Galati,-10,0.58,79,NV,2023-03-11
4,Braila,13,0.67,3,SV,2023-03-03
5,Suceava,22,0.91,60,S,2023-03-20
6,Iasi,37,0.37,129,SV,2023-03-16
6,Iasi,29,0.05,54,V,2023-03-06
3,Braila,3,0.37,67,NE,2023-03-22
8,Brasov,-8,0.5,51,SV,2023-03-16
4,Cluj-Napoca,-16,0.3,25,N,2023-03-12
6,Suceava,38,0.78,90,NE,2023-03-14
6,Brasov,1,0.18,19,SE,2023-03-01
9,Iasi,21,0.51,97,V,2023-03-07
7,Galati,-12,0.87,27,SV,2023-03-20
2,Braila,4,0.35,1,NE,2023-03-15
9,Brasov,34,0.48,109,SV,2023-03-18
1,Bucuresti,0,0.32,129,V,2023-03-19
1,Constanta,9,0.82,43,NE,2023-03-25
5,Constanta,-19,0.75,130,SE,2023-03-04
1,Bucuresti,32,0.29,86,V,2023-03-27
9,Brasov,-20,0.66,129,S,2023-03-26
2,Brasov,39,0.56,88,S,2023-03-03
6,Iasi,-14,0.29,25,NV,2023-03-06
3,Suceava,16,0.24,73,V,2023-03-16
10,Bucuresti,27,0.89,88,V,2023-03-27
1,Constanta,-11,0.71,1,E,2023-03-25
1,Constanta,-3,0.46,135,S,2023-03-20
1,Cluj-Napoca,6,0.64,83,S,2023-03-13
10,Constanta,20,0.57,114,E,2023-03-16
6,Braila,39,0.34,48,E,2023-03-29
5,Constanta,-16,0.59,4,S,2023-03-17
7,Bucuresti,26,0.24,88,NV,2023-03-27
8,Braila,-1,0.3,67,NV,2023-03-26
3,Iasi,24,0.91,66,E,2023-03-10
3,Iasi,33,0.69,45,NV,2023-03-10
10,Brasov,14,0.92,17,NV,2023-03-13
2,Cluj-Napoca,40,0.72,71,V,2023-03-16
2,Brasov,-1,0.11,98,NV,2023-03-01
3,Constanta,-6,0.76,55,NV,2023-03-20
9,Iasi,-9,0.15,26,SV,2023-03-04
3,Suceava,-5,0.13,89,N,2023-03-08
10,Constanta,39,0.99,106,E,2023-03-07
7,Suceava,16,0.66,20,E,2023-03-10
4,Suceava,-3,0.53,115,S,2023-03-15
3,Bucuresti,26,0.46,77,V,2023-03-18
3,Braila,-5,0.78,1,V,2023-03-10
5,Braila,24,0.83,54,V,2023-03-26
6,Cluj-Napoca,36,0.46,3,SV,2023-03-27
4,Bucuresti,8,0.45,45,E,2023-03-16
6,Galati,7,0.82,136,SV,2023-03-22
8,Bucuresti,-10,0.99,6,NV,2023-03-21
1,Brasov,26,0.82,110,N,2023-03-24
9,Iasi,-7,0.39,114,NE,2023-03-07
4,Suceava,-2,0.86,64,E,2023-03-29
8,Iasi,2,0.53,103,N,2023-03-19
8,Brasov,7,0.72,8,S,2023-03-28
4,Brasov,-7,0.48,9,E,2023-03-20
2,Braila,-13,0.03,3,NE,2023-03-02
8,Braila,-10,0.44,79,SE,2023-03-18
4,Suceava,29,0.6,66,S,2023-03-16
2,Galati,14,0.48,128,NE,2023-03-12
4,Braila,21,0.34,111,E,2023-03-14
1,Iasi,30,0.64,46,NV,2023-03-29
4,Braila,-6,0.23,96,S,2023-03-19
10,Suceava,21,0.04,85,E,2023-03-01
8,Brasov,-13,0.08,2,V,2023-03-08
7,Iasi,-7,0.0,100,N,2023-03-26
7,Iasi,16,0.61,85,V,2023-03-04
9,Cluj-Napoca,24,0.98,118,S,2023-03-25
3,Brasov,11,0.93,10,NV,2023-03-29
6,Galati,-2,0.92,120,SE,2023-03-17
10,Iasi,33,0.87,78,NV,2023-03-13
6,Brasov,14,0.01,120,SV,2023-03-27
5,Suceava,9,0.96,64,SV,2023-03-27
1,Galati,26,0.0,62,N,2023-03-18
9,Iasi,23,0.66,30,NV,2023-03-29
3,Braila,0,0.7,30,NV,2023-03-04
6,Braila,19,0.49,15,E,2023-03-25
8,Brasov,39,0.35,128,NV,2023-03-25
9,Brasov,30,0.67,58,E,2023-03-14
2,Iasi,18,0.33,27,NV,2023-03-29
8,Suceava,-9,0.08,37,E,2023-03-15
9,Bucuresti,13,0.18,28,V,2023-03-09
4,Cluj-Napoca,39,0.34,11,E,2023-03-05
5,Iasi,31,0.72,34,S,2023-03-22
7,Braila,10,0.26,81,NE,2023-03-26
6,Braila,21,0.97,53,NE,2023-03-17
4,Galati,15,0.84,92,S,2023-03-17
3,Bucuresti,30,0.5,119,SE,2023-03-20
10,Brasov,-11,0.93,33,V,2023-03-09
9,Brasov,16,0.12,59,E,2023-03-23
7,Galati,1,0.24,24,N,2023-03-20
8,Iasi,27,0.17,41,SE,2023-03-05
1,Constanta,0,0.49,89,E,2023-03-25
5,Galati,20,0.97,37,SE,2023-03-20
8,Iasi,2,0.14,140,E,2023-03-21
1,Cluj-Napoca,-3,0.23,113,SV,2023-03-04
6,Iasi,25,0.65,62,NV,2023-03-13
8,Bucuresti,-15,0.37,50,E,2023-03-26
5,Bucuresti,24,0.5,70,E,2023-03-05
6,Iasi,18,0.85,69,V,2023-03-09
4,Bucuresti,13,0.15,87,SE,2023-03-01
1,Constanta,14,0.86,9,V,2023-03-03
10,Bucuresti,13,0.35,63,SV,2023-03-14
10,Galati,34,0.71,106,NV,2023-03-16
1,Cluj-Napoca,31,0.62,60,N,2023-03-29
5,Galati,-5,0.2,35,E,2023-03-10
9,Galati,-16,0.41,35,S,2023-03-14
5,Brasov,29,0.86,10,SE,2023-03-23
9,Bucuresti,20,0.25,116,SE,2023-03-27
2,Suceava,-4,0.02,108,S,2023-03-11
3,Iasi,16,0.05,130,SE,2023-03-19
5,Brasov,-16,0.6,24,E,2023-03-08
9,Constanta,34,0.28,130,V,2023-03-14
9,Brasov,-4,0.38,38,E,2023-03-02
5,Iasi,2,0.81,46,NE,2023-03-21
3,Galati,-8,0.9,107,E,2023-03-15
5,Constanta,-19,0.69,27,SE,2023-03-14
2,Galati,40,0.74,55,SV,2023-03-03
7,Bucuresti,-15,0.78,31,NE,2023-03-22
9,Bucuresti,-15,0.33,4,NV,2023-03-15
2,Suceava,15,0.83,50,SE,2023-03-01
8,Suceava,16,0.82,66,NV,2023-03-21
10,Suceava,39,0.49,97,SE,2023-03-30
8,Suceava,-18,0.9,32,NE,2023-03-21
6,Cluj-Napoca,13,0.85,55,SV,2023-03-22
8,Brasov,-18,0.69,133,E,2023-03-12
1,Iasi,17,0.21,34,E,2023-03-27
2,Brasov,-2,0.95,66,E,2023-03-12
2,Galati,0,0.35,28,V,2023-03-27
5,Cluj-Napoca,-1,0.62,96,NV,2023-03-13
5,Braila,-15,0.12,54,S,2023-03-28
6,Constanta,17,0.66,30,SV,2023-03-11
6,Bucuresti,-18,0.74,111,NV,2023-03-05
1,Iasi,22,1.0,4,N,2023-03-02
5,Galati,36,0.94,135,S,2023-03-09
8,Suceava,39,0.9,49,V,2023-03-14
5,Brasov,16,0.56,104,SE,2023-03-01
6,Galati,21,0.39,139,N,2023-03-23
4,Iasi,25,0.63,140,N,2023-03-11
6,Braila,-7,0.74,111,NE,2023-03-09
6,Galati,3,0.05,131,E,2023-03-25
8,Braila,-17,0.79,36,V,2023-03-21
3,Brasov,30,0.19,5,NV,2023-03-18
7,Braila,9,0.84,126,E,2023-03-02
4,Cluj-Napoca,-20,0.34,21,NV,2023-03-20
6,Galati,6,0.39,139,E,2023-03-18
7,Galati,6,0.33,125,V,2023-03-01
9,Suceava,30,0.84,89,NV,2023-03-22
9,Braila,-15,0.6,115,NE,2023-03-14
4,Suceava,9,0.3,50,V,2023-03-28
9,Brasov,17,0.88,32,V,2023-03-26
4,Iasi,25,0.21,38,SV,2023-03-04
9,Constanta,32,0.09,23,NV,2023-03-21
10,Constanta,-18,0.22,8,SV,2023-03-03
6,Braila,4,0.73,55,SV,2023-03-27
7,Galati,-1,0.33,33,SV,2023-03-20
6,Iasi,-18,0.28,76,E,2023-03-15
5,Bucuresti,24,0.81,103,NV,2023-03-30
1,Suceava,-12,0.09,44,S,2023-03-08
5,Suceava,27,0.77,131,V,2023-03-10
3,Galati,3,0.89,30,NE,2023-03-02
2,Bucuresti,-9,0.87,135,E,2023-03-01
8,Suceava,22,0.71,32,S,2023-03-02
6,Brasov,29,0.18,103,S,2023-03-14
4,Suceava,30,0.89,94,N,2023-03-01
8,Iasi,-7,0.24,87,V,2023-03-28
3,Bucuresti,36,0.85,80,V,2023-03-03
4,Galati,7,0.71,8,V,2023-03-23
7,Constanta,-3,0.71,111,NE,2023-03-24
2,Galati,8,0.22,108,S,2023-03-10
1,Braila,22,0.97,114,N,2023-03-04
9,Galati,10,0.13,29,NE,2023-03-28
9,Brasov,37,0.59,53,N,2023-03-21
2,Galati,37,0.24,72,S,2023-03-06
10,Brasov,-6,0.69,84,V,2023-03-25
3,Bucuresti,-14,0.41,29,NE,2023-03-28
8,Cluj-Napoca,12,0.51,89,NV,2023-03-19
3,Iasi,38,0.4,96,N,2023-03-24
7,Bucuresti,35,0.33,55,E,2023-03-21
5,Braila,-20,0.1,125,N,2023-03-24
4,Iasi,10,0.0,65,V,2023-03-05
4,Iasi,2,0.77,122,NV,2023-03-25
6,Brasov,-4,0.61,64,NV,2023-03-18
9,Braila,-20,0.86,104,S,2023-03-21
7,Iasi,19,0.99,83,SE,2023-03-17
2,Iasi,13,0.5,29,SV,2023-03-27
6,Brasov,29,0.87,64,SV,2023-03-05
7,Brasov,40,0.1,83,E,2023-03-19
5,Brasov,-17,0.87,40,SE,2023-03-19
1,Constanta,26,0.22,78,NV,2023-03-07
3,Iasi,7,0.47,87,V,2023-03-26
8,Braila,13,0.16,98,NE,2023-03-28
9,Bucuresti,32,0.26,43,SE,2023-03-05
5,Iasi,5,0.14,103,S,2023-03-22
6,Braila,35,0.17,52,NE,2023-03-04
2,Cluj-Napoca,13,0.76,2,NV,2023-03-26
4,Cluj-Napoca,11,0.37,13,V,2023-03-29
6,Galati,32,0.58,36,NV,2023-03-13
8,Braila,11,0.38,8,S,2023-03-18
8,Cluj-Napoca,-15,0.22,33,S,2023-03-04
6,Constanta,-8,0.42,78,NV,2023-03-11
1,Bucuresti,27,0.94,53,N,2023-03-14
1,Iasi,-13,0.34,17,V,2023-03-26
8,Cluj-Napoca,-11,0.15,119,N,2023-03-21
4,Cluj-Napoca,3,0.46,88,NE,2023-03-16
3,Iasi,14,0.53,44,NE,2023-03-23
7,Brasov,1,0.78,48,NE,2023-03-11
2,Suceava,36,0.76,100,NV,2023-03-01
9,Cluj-Napoca,31,0.78,109,V,2023-03-02
9,Bucuresti,-18,0.85,129,N,2023-03-12
9,Brasov,28,0.53,114,E,2023-03-07
3,Suceava,9,0.48,9,V,2023-03-11
1,Galati,1,0.45,114,S,2023-03-18
2,Iasi,5,0.96,48,E,2023-03-08
4,Suceava,-4,0.92,125,S,2023-03-14
1,Braila,-15,0.73,41,E,2023-03-13
8,Cluj-Napoca,36,0.6,39,NV,2023-03-01
1,Bucuresti,-7,0.32,79,N,2023-03-27
10,Brasov,39,0.96,51,SV,2023-03-26
2,Suceava,-9,0.32,21,NV,2023-03-29
2,Brasov,40,0.45,50,NE,2023-03-05
2,Cluj-Napoca,-17,0.89,84,SV,2023-03-13
10,Galati,27,0.57,45,NE,2023-03-20
5,Cluj-Napoca,29,0.27,77,E,2023-03-24
4,Brasov,-8,0.74,94,SE,2023-03-19
3,Brasov,31,0.68,125,NE,2023-03-06
4,Iasi,21,0.11,59,V,2023-03-18
1,Galati,10,0.24,92,SV,2023-03-17
1,Constanta,2,0.66,29,V,2023-03-18
10,Cluj-Napoca,5,0.7,137,V,2023-03-13
2,Iasi,9,0.06,72,E,2023-03-29
4,Braila,-9,0.86,36,V,2023-03-29
3,Constanta,14,0.66,140,SV,2023-03-26
2,Bucuresti,-18,0.32,32,N,2023-03-09
4,Galati,2,0.22,76,SV,2023-03-07
2,Cluj-Napoca,18,0.84,103,E,2023-03-30
2,Constanta,-13,0.77,83,NE,2023-03-19
1,Cluj-Napoca,-9,0.77,44,SE,2023-03-03
8,Galati,-17,0.71,124,SV,2023-03-04
8,Bucuresti,0,0.73,61,S,2023-03-05
1,Brasov,-18,0.35,7,SE,2023-03-14
7,Braila,15,0.38,57,NE,2023-03-01
7,Iasi,28,0.96,104,E,2023-03-18
8,Braila,-14,0.5,73,NE,2023-03-29
9,Suceava,-9,1.0,105,V,2023-03-01
1,Galati,-1,0.97,30,SE,2023-03-05
4,Brasov,-20,0.75,31,E,2023-03-16
3,Suceava,-14,0.42,4,N,2023-03-07
6,Brasov,40,0.35,22,NE,2023-03-08
7,Galati,3,0.59,137,NE,2023-03-16
4,Galati,-4,0.1,110,NV,2023-03-08
5,Constanta,3,0.21,83,SV,2023-03-03
4,Galati,-5,0.61,115,V,2023-03-12
5,Braila,26,0.92,52,S,2023-03-08
7,Galati,8,0.28,33,V,2023-03-02
5,Galati,35,0.56,54,NV,2023-03-28
9,Suceava,6,0.61,103,SE,2023-03-07
4,Bucuresti,31,0.12,53,SE,2023-03-03
5,Bucuresti,7,0.29,51,S,2023-03-12
5,Iasi,35,0.75,86,SE,2023-03-15
4,Brasov,10,0.26,60,N,2023-03-10
3,Suceava,-1,0.71,41,SV,2023-03-04
4,Bucuresti,23,0.98,117,NV,2023-03-11
9,Braila,12,0.35,121,NE,2023-03-12
4,Galati,14,0.08,60,NE,2023-03-17
5,Braila,34,0.58,83,V,2023-03-06
10,Bucuresti,-20,0.78,66,E,2023-03-14
8,Iasi,-13,0.25,108,V,2023-03-06
9,Galati,20,0.62,95,NE,2023-03-13
1,Bucuresti,35,0.68,122,S,2023-03-07
2,Suceava,-1,0.58,69,V,2023-03-20
7,Iasi,-8,0.24,115,SV,2023-03-24
5,Bucuresti,15,0.5,107,NV,2023-03-23
7,Galati,19,0.68,98,S,2023-03-16
3,Iasi,37,0.6,25,NE,2023-03-21
1,Bucuresti,3,0.41,72,NE,2023-03-21
10,Suceava,19,0.48,130,NE,2023-03-29
2,Galati,-4,0.89,99,SE,2023-03-26
2,Brasov,38,0.69,53,V,2023-03-18
5,Galati,17,0.1,33,NE,2023-03-05
3,Suceava,-15,0.66,4,S,2023-03-29
4,Braila,20,0.4,7,SE,2023-03-02
1,Galati,12,0.13,108,SE,2023-03-19
9,Braila,21,0.3,128,NV,2023-03-06
2,Braila,10,0.51,54,V,2023-03-17
8,Constanta,24,0.15,138,V,2023-03-05
1,Bucuresti,-14,0.42,31,SV,2023-03-24
3,Constanta,26,0.18,122,NE,2023-03-01
2,Constanta,25,0.48,38,SV,2023-03-26
6,Bucuresti,13,0.9,22,SE,2023-03-06
5,Constanta,27,0.12,131,N,2023-03-15
10,Constanta,-4,0.58,91,V,2023-03-04
6,Bucuresti,-11,0.12,60,SE,2023-03-22
1,Bucuresti,-3,0.11,85,SE,2023-03-14
9,Cluj-Napoca,-15,0.01,113,SV,2023-03-20
9,Bucuresti,-1,0.74,40,V,2023-03-23
4,Bucuresti,16,0.65,136,E,2023-03-13
1,Iasi,-14,0.56,61,V,2023-03-16
5,Bucuresti,-13,0.68,121,SV,2023-03-13
7,Brasov,-5,1.0,5,S,2023-03-09
2,Constanta,-6,0.36,129,E,2023-03-21
4,Bucuresti,18,0.53,64,NE,2023-03-22
7,Constanta,-13,0.49,105,N,2023-03-02
5,Galati,28,0.88,93,SE,2023-03-11
5,Bucuresti,15,0.9,104,SV,2023-03-29
5,Bucuresti,-10,0.8,15,NE,2023-03-01
3,Iasi,-12,0.81,90,S,2023-03-26
6,Constanta,21,0.86,132,V,2023-03-22
5,Galati,-3,0.07,97,E,2023-03-28
8,Braila,16,0.63,98,N,2023-03-02
7,Iasi,-18,0.19,7,SE,2023-03-13
2,Galati,27,0.79,57,SE,2023-03-21
4,Bucuresti,-4,0.07,79,N,2023-03-07
9,Galati,16,0.51,4,NE,2023-03-06
7,Bucuresti,5,0.69,43,NV,2023-03-19
5,Brasov,-15,0.58,79,E,2023-03-20
2,Constanta,40,0.09,120,S,2023-03-22
6,Galati,7,0.8,109,NV,2023-03-18
10,Galati,12,0.37,113,SV,2023-03-27
10,Galati,21,0.14,18,E,2023-03-30
2,Brasov,0,0.42,6,SV,2023-03-09
10,Brasov,14,0.17,120,E,2023-03-12
5,Iasi,15,0.23,16,S,2023-03-21
4,Constanta,9,0.03,42,NV,2023-03-12
4,Braila,27,0.6,65,V,2023-03-10
5,Iasi,8,0.86,9,NV,2023-03-23
2,Braila,23,0.1,133,S,2023-03-11
10,Brasov,1,0.7,29,NE,2023-03-18
2,Cluj-Napoca,-13,0.85,37,N,2023-03-18
2,Suceava,-19,0.52,7,NE,2023-03-28
1,Constanta,-14,0.87,21,SE,2023-03-13
6,Braila,18,0.86,64,N,2023-03-07
4,Constanta,-19,0.02,5,V,2023-03-09
5,Braila,-4,0.9,71,SV,2023-03-27
8,Bucuresti,0,0.91,5,S,2023-03-27
6,Bucuresti,22,0.68,92,E,2023-03-30
3,Braila,21,1.0,68,E,2023-03-22
2,Brasov,8,0.75,14,E,2023-03-05
8,Cluj-Napoca,30,0.96,91,SV,2023-03-16
9,Suceava,-20,0.25,127,V,2023-03-28
7,Iasi,9,0.39,58,SV,2023-03-21
